Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %
jmeter_login_and_view_dashboard,200,353,340,390,404,707,256,2221,0.0
jmeter_view_issue,18204,148,147,173,182,228,94,1579,0.0
jmeter_view_dashboard,5080,211,198,255,269,316,163,1279,0.0
jmeter_search_jql,5503,417,416,468,486,533,318,1965,0.0
jmeter_view_backlog,2540,237,231,267,283,326,180,2159,0.0
jmeter_create_issue:open_quick_create,1693,76,70,87,103,152,57,1085,0.0
jmeter_create_issue:fill_and_submit_issue_form,1693,163,141,225,231,266,120,571,0.0
jmeter_view_project_summary,1693,156,145,195,204,259,109,373,0.0
jmeter_edit_issue:open_editor,1693,65,60,78,80,94,50,596,0.0
jmeter_edit_issue:save_edit,1693,250,223,332,361,516,172,1215,0.0
jmeter_browse_projects,1693,38,37,44,46,54,30,115,0.0
jmeter_view_kanban_board,1270,184,177,215,232,275,134,671,0.0
jmeter_view_scrum_board,1270,97,92,127,136,165,61,227,0.0
jmeter_add_comment:open_comment,847,60,59,67,72,112,38,138,0.0
jmeter_add_comment:save_comment,847,173,167,196,228,324,104,398,0.0
jmeter_browse_boards,847,62,59,65,68,112,42,1074,0.0
selenium_login:open_login_page,238,103,101,106,110,127,94,342,0.0
selenium_login:login_and_view_dashboard,238,534,490,539,1137,1242,440,1272,0.0
selenium_login,238,639,593,644,1237,1345,540,1373,0.0
selenium_browse_projects_list,238,273,262,330,340,352,214,364,0.0
selenium_browse_boards_list,238,278,261,275,284,774,250,828,0.0
selenium_create_issue:open_quick_create,238,721,736,770,778,801,629,872,0.0
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,238,613,607,614,617,623,599,1715,0.0
selenium_create_issue:fill_and_submit_issue_form,238,1159,1152,1200,1213,1227,1047,2355,0.0
selenium_create_issue,238,1881,1880,1962,1971,2037,1688,3111,0.0
selenium_edit_issue:open_edit_issue_form,238,525,508,605,621,674,439,705,0.0
selenium_edit_issue:save_edit_issue_form,238,538,526,585,601,717,484,912,0.0
selenium_edit_issue,238,1494,1487,1546,1567,1655,1410,1883,0.0
selenium_save_comment:open_comment_form,238,355,362,394,422,440,240,483,0.0
selenium_save_comment:submit_form,238,729,721,779,817,877,599,1068,0.0
selenium_save_comment,238,1249,1244,1305,1350,1529,1106,1644,0.0
selenium_search_jql,238,1073,1066,1103,1119,1169,1016,1424,0.0
selenium_view_scrum_board_backlog,238,1081,1288,1325,1334,1384,774,1436,0.0
selenium_view_scrum_board,238,785,781,792,807,852,768,873,0.0
selenium_view_kanban_board,238,712,703,961,1040,1190,327,1502,0.0
selenium_view_dashboard,238,448,447,635,671,743,221,760,0.0
selenium_view_issue,238,610,612,675,701,753,474,766,0.0
selenium_project_summary,238,394,398,471,488,537,295,594,0.0
selenium_log_out,238,353,354,379,390,414,285,504,0.0
